point_index,seed_x,seed_y,side_count,area
1,0.5518687850356832,0.5906584437764467,5,0.0035878960816445593
2,0.5820964311586801,0.2722236703866494,6,0.013270890172419225
3,0.6237389924841698,0.3131963970487205,7,0.010126920128404882
4,0.8684142503189141,0.4818646039883413,5,0.005218514687814313
5,0.32085396250526665,0.44654342166480554,5,0.005722369021204987
6,0.799527381519851,0.5073969059189769,5,0.006216522345699804
7,0.5573732397047096,0.6394342579369247,6,0.004550779529717719
8,0.3443117140579244,0.4642371879444196,5,0.0028131261288862897
10,0.4727391311803968,0.2969182071836627,4,0.006459875178881247
11,0.6137836060978038,0.3816104911505309,4,0.006659174621289177
12,0.6266106386489898,0.7038130210466241,5,0.004967031726736071
13,0.7881911217114849,0.33746989961517737,7,0.008568385711720583
14,0.44292612172430024,0.2673661471296176,6,0.015383396041224906
15,0.29537730252539995,0.7503035316262127,4,0.007105932823478267
17,0.7559677820221187,0.21989470500360808,5,0.009677450544687494
18,0.2077793072197951,0.6331278554475387,4,0.011105966661037026
19,0.7692227083292198,0.39668379550516975,5,0.006719941085469916
22,0.6511904112970687,0.7426184450427655,5,0.008625541292251127
24,0.2877125642726497,0.16112082991322252,7,0.0212105746513975
25,0.5208412179000895,0.5906462010682887,7,0.008146085597506625
26,0.07074217175973951,0.9245466462278001,4,0.0031074792386812933
27,0.5361327669699559,0.6157551259235163,4,0.0010173029833118186
31,0.5238944788476632,0.8527330210956228,6,0.014872070558368478
32,0.8265412640350278,0.6197199499290541,5,0.009444380446708367
34,0.5955999911603203,0.5361896288546181,6,0.0071013365148692165
36,0.7213515608049139,0.7016532333910012,6,0.013104119649317347
38,0.8396286798720484,0.2573370490423529,5,0.005949399707946057
39,0.5177232162947246,0.6924486820379411,6,0.006473488665142302
40,0.4188139762845591,0.7482967507613942,8,0.014338979343397673
41,0.5835698965140457,0.4247157645827174,6,0.010876215956849067
42,0.3545788205100684,0.4216527929425882,6,0.006513248319776843
43,0.32033022766160946,0.7343514658512508,4,0.010194813369297506
44,0.8306891954311023,0.46141630779785436,5,0.005203832611744286
45,0.4145340602873052,0.4901219048541243,8,0.008785737736592525
46,0.9045840388726387,0.38680867093595606,8,0.00899177124402395
47,0.3579281760182521,0.4647572190429542,5,0.0023783974787595086
49,0.6676365723924792,0.6732261968119113,8,0.006692386649133519
50,0.21042540967439383,0.49353884501963785,7,0.018157462110207745
51,0.12093023751034915,0.2302325284114033,7,0.023139347296546292
52,0.41121365332104765,0.513449345942443,4,0.0011531585493343433
53,0.8233964595305155,0.28295676773515144,5,0.004290842129188177
55,0.33653961032942836,0.3443493748968969,8,0.015214999877236068
56,0.4769397170977111,0.7403436357958054,5,0.0051182414529066245
58,0.41324194888369703,0.5226421096909869,4,0.00534621497272364
59,0.7890200587333726,0.25373029797554936,5,0.004606141492532134
60,0.4977063621982287,0.3484602453697838,8,0.011875352459771782
61,0.7337636398761574,0.6051765483288459,8,0.01002306449108703
62,0.47153887441635045,0.7357245234564255,5,0.003665876976816418
63,0.5922452814721985,0.7794290139847745,6,0.009844368410419246
65,0.7053088260220847,0.4211546616772809,8,0.00849102239370536
67,0.2382803300549492,0.6855704513279602,7,0.011666249231805148
70,0.9202821988319957,0.49667235412040156,5,0.011019875354630004
71,0.051702047595822975,0.2887555615791373,3,0.00839859565827544
73,0.7436312266476407,0.503036909791892,6,0.004671171722765433
75,0.3719883139159731,0.5461414855341145,12,0.01542994177759427
78,0.6774478536398189,0.17096974408426358,7,0.019264950666360192
79,0.5287810451427694,0.6416534635744713,6,0.00389931623382056
80,0.9005426067785568,0.19767668923363957,5,0.005836574630842584
81,0.7086350126936595,0.4988804119992586,4,0.005997660076996647
83,0.23088403657017265,0.2528753174413232,5,0.017670281544140493
85,0.8407000929650847,0.13572678747692024,7,0.014646722419547231
87,0.2209366655384235,0.4341091063532809,5,0.014189534378465596
88,0.6186077791511152,0.5226018452470198,6,0.007078450514448109
