path,filename,kind,concept,bytes
artifacts/chapter-10/figures/triangle-centers-euler-ceva.png,triangle-centers-euler-ceva.png,figures,triangle centers and Euler line,115571
artifacts/chapter-10/figures/fermat-minimum-landscape.png,fermat-minimum-landscape.png,figures,triangle minimum principle,210598
artifacts/chapter-10/checks/triangle-centers-fermat-checks.json,triangle-centers-fermat-checks.json,checks,triangle centers and minimum checks,833
artifacts/chapter-10/html/spherical-triangle-great-circle-excess.html,spherical-triangle-great-circle-excess.html,html,spherical triangle excess,151347
artifacts/chapter-10/checks/spherical-triangle-excess.json,spherical-triangle-excess.json,checks,spherical triangle excess checks,395
artifacts/chapter-10/html/tetrahedron-circumsphere-insphere.html,tetrahedron-circumsphere-insphere.html,html,tetrahedron sphere relations,134755
artifacts/chapter-10/checks/tetrahedron-sphere-mesh-checks.json,tetrahedron-sphere-mesh-checks.json,checks,tetrahedron mesh and sphere checks,704
artifacts/chapter-10/figures/inversion-circle-line-diagnostics.png,inversion-circle-line-diagnostics.png,figures,inversion circle and line diagnostics,105258
artifacts/chapter-10/figures/circle-pencil-radical-axis.png,circle-pencil-radical-axis.png,figures,circle pencil radical axis diagnostics,183612
artifacts/chapter-10/checks/inversion-pencil-diagnostics.json,inversion-pencil-diagnostics.json,checks,inversion and circle pencil checks,1134
artifacts/chapter-10/html/parataxis-hopf-villarceau-circles.html,parataxis-hopf-villarceau-circles.html,html,parataxis Hopf fiber circles,53175
artifacts/chapter-10/checks/parataxis-hopf-checks.json,parataxis-hopf-checks.json,checks,parataxis Hopf fiber checks,1658
artifacts/chapter-10/checks/applied-lab-summary.json,applied-lab-summary.json,checks,applied lab invariant checks,350
artifacts/chapter-10/checks/visual-summary.json,visual-summary.json,checks,chapter visual summary,1974
