title,printed_start,pdf_start,coverage
Divisors and Line Bundles,129,144,"covered by divisor/line-bundle, vanishing theorem, projective variety, Kodaira embedding, blowup, or Grassmannian scaffold"
Divisors,129,144,"covered by divisor/line-bundle, vanishing theorem, projective variety, Kodaira embedding, blowup, or Grassmannian scaffold"
Line Bundles,132,147,"covered by divisor/line-bundle, vanishing theorem, projective variety, Kodaira embedding, blowup, or Grassmannian scaffold"
Chern Classes of Line Bundles,139,154,"covered by divisor/line-bundle, vanishing theorem, projective variety, Kodaira embedding, blowup, or Grassmannian scaffold"
Some Vanishing Theorems and Corollaries,148,163,"covered by divisor/line-bundle, vanishing theorem, projective variety, Kodaira embedding, blowup, or Grassmannian scaffold"
The Kodaira Vanishing Theorem,148,163,"covered by divisor/line-bundle, vanishing theorem, projective variety, Kodaira embedding, blowup, or Grassmannian scaffold"
The Lefschetz Theorem on Hyperplane Sections,156,171,"covered by divisor/line-bundle, vanishing theorem, projective variety, Kodaira embedding, blowup, or Grassmannian scaffold"
Theorem B,159,174,"covered by divisor/line-bundle, vanishing theorem, projective variety, Kodaira embedding, blowup, or Grassmannian scaffold"
"The Lefschetz Theorem on (1,1)-classes",161,176,"covered by divisor/line-bundle, vanishing theorem, projective variety, Kodaira embedding, blowup, or Grassmannian scaffold"
Algebraic Varieties,164,179,"covered by divisor/line-bundle, vanishing theorem, projective variety, Kodaira embedding, blowup, or Grassmannian scaffold"
Analytic and Algebraic Varieties,164,179,"covered by divisor/line-bundle, vanishing theorem, projective variety, Kodaira embedding, blowup, or Grassmannian scaffold"
Degree of a Variety,171,186,"covered by divisor/line-bundle, vanishing theorem, projective variety, Kodaira embedding, blowup, or Grassmannian scaffold"
Tangent Spaces to Algebraic Varieties,175,190,"covered by divisor/line-bundle, vanishing theorem, projective variety, Kodaira embedding, blowup, or Grassmannian scaffold"
The Kodaira Embedding Theorem,176,191,"covered by divisor/line-bundle, vanishing theorem, projective variety, Kodaira embedding, blowup, or Grassmannian scaffold"
Line Bundles and Maps to Projective Space,176,191,"covered by divisor/line-bundle, vanishing theorem, projective variety, Kodaira embedding, blowup, or Grassmannian scaffold"
Blowing Up,182,197,"covered by divisor/line-bundle, vanishing theorem, projective variety, Kodaira embedding, blowup, or Grassmannian scaffold"
Proof of the Kodaira Theorem,189,204,"covered by divisor/line-bundle, vanishing theorem, projective variety, Kodaira embedding, blowup, or Grassmannian scaffold"
Grassmannians,193,208,"covered by divisor/line-bundle, vanishing theorem, projective variety, Kodaira embedding, blowup, or Grassmannian scaffold"
Definitions,193,208,"covered by divisor/line-bundle, vanishing theorem, projective variety, Kodaira embedding, blowup, or Grassmannian scaffold"
The Cell Decomposition,194,209,"covered by divisor/line-bundle, vanishing theorem, projective variety, Kodaira embedding, blowup, or Grassmannian scaffold"
The Schubert Calculus,197,212,"covered by divisor/line-bundle, vanishing theorem, projective variety, Kodaira embedding, blowup, or Grassmannian scaffold"
Universal Bundles,207,222,"covered by divisor/line-bundle, vanishing theorem, projective variety, Kodaira embedding, blowup, or Grassmannian scaffold"
The Plucker Embedding,209,224,"covered by divisor/line-bundle, vanishing theorem, projective variety, Kodaira embedding, blowup, or Grassmannian scaffold"
