title,printed_start,pdf_start,coverage
Elementary Properties of Residues,649,664,"covered by local/global residue, transformation law, Koszul, duality, Ext, or vector-bundle scaffold"
Definition and Cohomological Interpretation,649,664,"covered by local/global residue, transformation law, Koszul, duality, Ext, or vector-bundle scaffold"
The Global Residue Theorem,655,670,"covered by local/global residue, transformation law, Koszul, duality, Ext, or vector-bundle scaffold"
The Transformation Law and Local Duality,656,671,"covered by local/global residue, transformation law, Koszul, duality, Ext, or vector-bundle scaffold"
Applications of Residues,662,677,"covered by local/global residue, transformation law, Koszul, duality, Ext, or vector-bundle scaffold"
Intersection Numbers,662,677,"covered by local/global residue, transformation law, Koszul, duality, Ext, or vector-bundle scaffold"
Finite Holomorphic Mappings,667,682,"covered by local/global residue, transformation law, Koszul, duality, Ext, or vector-bundle scaffold"
Applications to Plane Projective Geometry,670,685,"covered by local/global residue, transformation law, Koszul, duality, Ext, or vector-bundle scaffold"
Rudiments of Commutative and Homological Algebra with Applications,678,693,"covered by local/global residue, transformation law, Koszul, duality, Ext, or vector-bundle scaffold"
Commutative Algebra,678,693,"covered by local/global residue, transformation law, Koszul, duality, Ext, or vector-bundle scaffold"
Homological Algebra,682,697,"covered by local/global residue, transformation law, Koszul, duality, Ext, or vector-bundle scaffold"
The Koszul Complex and Applications,687,702,"covered by local/global residue, transformation law, Koszul, duality, Ext, or vector-bundle scaffold"
A Brief Tour Through Coherent Sheaves,695,710,"covered by local/global residue, transformation law, Koszul, duality, Ext, or vector-bundle scaffold"
Global Duality,705,720,"covered by local/global residue, transformation law, Koszul, duality, Ext, or vector-bundle scaffold"
Global Ext,705,720,"covered by local/global residue, transformation law, Koszul, duality, Ext, or vector-bundle scaffold"
Explanation of the General Global Duality Theorem,707,722,"covered by local/global residue, transformation law, Koszul, duality, Ext, or vector-bundle scaffold"
Global Ext and Vector Fields with Isolated Zeros,708,723,"covered by local/global residue, transformation law, Koszul, duality, Ext, or vector-bundle scaffold"
Global Duality and Superabundance of Points on a Surface,712,727,"covered by local/global residue, transformation law, Koszul, duality, Ext, or vector-bundle scaffold"
Extensions of Modules,722,737,"covered by local/global residue, transformation law, Koszul, duality, Ext, or vector-bundle scaffold"
Points on a Surface and Rank-Two Vector Bundles,726,741,"covered by local/global residue, transformation law, Koszul, duality, Ext, or vector-bundle scaffold"
Residues and Vector Bundles,729,744,"covered by local/global residue, transformation law, Koszul, duality, Ext, or vector-bundle scaffold"
