abs_dot_over_product,cauchy_schwarz_slack,theta_radians,triangle_slack_for_unit_pair
1.0,0.0,0.0,0.0
0.9961946980917455,0.003805301908254455,0.08726646259971647,0.0019035568362844035
0.9848077530122081,0.015192246987791869,0.17453292519943295,0.0076106038165086876
0.9659258262890683,0.03407417371093169,0.2617993877991494,0.017110277252379236
0.9396926207859084,0.06030737921409157,0.3490658503988659,0.03038449397558396
0.9063077870366499,0.09369221296335006,0.4363323129985824,0.047407985760133275
0.8660254037844387,0.1339745962155613,0.5235987755982988,0.06814834742186315
0.8191520442889919,0.1808479557110081,0.6108652381980153,0.09256609850354613
0.7660444431189781,0.23395555688102188,0.6981317007977318,0.12061475842818337
0.7071067811865476,0.2928932188134524,0.7853981633974483,0.15224093497742652
0.6427876096865394,0.35721239031346064,0.8726646259971648,0.18738442592670013
0.5735764363510462,0.42642356364895384,0.9599310885968813,0.22597833364355657
0.5000000000000001,0.4999999999999999,1.0471975511965976,0.2679491924311228
0.42261826174069944,0.5773817382593005,1.1344640137963142,0.31321710837422834
0.3420201433256689,0.6579798566743311,1.2217304763960306,0.3616959114220164
0.25881904510252074,0.7411809548974793,1.3089969389957472,0.41329331941752967
0.17364817766693044,0.8263518223330695,1.3962634015954636,0.46791111376204375
0.08715574274765836,0.9128442572523416,1.48352986419518,0.5254453263797518
6.123233995736766e-17,0.9999999999999999,1.5707963267948966,0.5857864376269049
0.08715574274765801,0.912844257252342,1.658062789394613,0.6488195847686795
0.17364817766693033,0.8263518223330696,1.7453292519943295,0.7144247806269213
0.25881904510252063,0.7411809548974794,1.832595714594046,0.7824771419825587
0.3420201433256687,0.6579798566743313,1.9198621771937625,0.8528471272979077
0.42261826174069933,0.5773817382593007,2.007128639793479,0.9254007833063522
0.49999999999999983,0.5000000000000001,2.0943951023931953,0.9999999999999998
0.5735764363510458,0.4264235636489542,2.1816615649929116,1.0765027735299317
0.6427876096865394,0.35721239031346064,2.2689280275926285,1.154763476518601
0.7071067811865475,0.29289321881345254,2.356194490192345,1.2346331352698203
0.7660444431189779,0.2339555568810221,2.443460952792061,1.3159597133486622
0.8191520442889916,0.18084795571100842,2.5307274153917776,1.3985884009914535
0.8660254037844387,0.1339745962155613,2.6179938779914944,1.4823619097949585
0.9063077870366499,0.09369221296335006,2.705260340591211,1.567120772123794
0.9396926207859084,0.06030737921409157,2.792526803190927,1.6527036446661392
0.9659258262890682,0.0340741737109318,2.8797932657906435,1.7389476155598964
0.984807753012208,0.01519224698779198,2.96705972839036,1.8256885145046833
0.9961946980917455,0.003805301908254455,3.0543261909900767,1.912761225269328
1.0,0.0,3.141592653589793,1.9999999999999998
