line_a,line_b,x,y
L1,L2,1.5,-0.1499999999999999
L1,L3,1.3666666666666665,0.0766666666666671
L1,L4,1.2222222222222223,0.32222222222222197
L1,L5,1.2807017543859651,0.22280701754385923
L1,L6,1.352112676056338,0.10140845070422522
L2,L3,1.2142857142857144,0.10714285714285698
L2,L4,1.068965517241379,0.23793103448275887
L2,L5,1.1951219512195124,0.12439024390243869
L2,L6,1.3090909090909089,0.02181818181818196
L3,L4,0.9333333333333332,0.16333333333333333
L3,L5,1.1851851851851853,0.1129629629629629
L3,L6,1.3414634146341462,0.08170731707317075
L4,L5,1.5000000000000004,0.4750000000000003
L4,L6,1.5769230769230766,0.5173076923076922
L5,L6,1.6428571428571423,0.6392857142857136
